SCHOOL_CODE,Pass_Percentage,Result
EE0404,100.00%,Reward
EE0405,66.67%,Attention
EE0406,0.00%,Attention
EE0407,25.00%,Attention
EE0408,100.00%,Reward
EE0409,100.00%,Reward
EE0410,100.00%,Reward
EE0411,66.67%,Attention
EE0412,50.00%,Attention
EE0415,100.00%,Reward
EE0416,50.00%,Attention
EE0417,50.00%,Attention
EE0418,100.00%,Reward
EE0419,100.00%,Reward
EE0420,100.00%,Reward
EE0421,100.00%,Reward
EE0422,100.00%,Reward
EE0423,100.00%,Reward
EE0425,100.00%,Reward
EE0426,75.00%,Attention
EE0427,100.00%,Reward
EE0428,100.00%,Reward
EE0430,100.00%,Reward
EE0431,100.00%,Reward
EE0432,100.00%,Reward
EE0435,100.00%,Reward
EE0437,100.00%,Reward
EE0439,0.00%,Attention
EE0440,100.00%,Reward
EE0441,100.00%,Reward
EE0442,0.00%,Attention
EE0444,50.00%,Attention
EE0445,100.00%,Reward
EE0446,20.00%,Attention
EE0448,100.00%,Reward
EE0449,100.00%,Reward
EE0451,100.00%,Reward
EE0452,0.00%,Attention
EE0457,66.67%,Attention
EE0459,100.00%,Reward
EE0461,66.67%,Attention
EE0462,100.00%,Reward
EE0464,0.00%,Attention
EE0465,100.00%,Reward
EE0466,100.00%,Reward
EE0467,100.00%,Reward
EE0468,83.33%,Reward
EE0470,0.00%,Attention
