SCHOOL_CODE,Pass_Percentage,Result
IA0084,66.67%,Attention
IA0085,33.33%,Attention
IA0086,100.00%,Reward
IA0087,66.67%,Attention
IA0088,0.00%,Attention
IA0090,100.00%,Reward
IA0091,100.00%,Reward
IA0093,100.00%,Reward
IA0094,50.00%,Attention
IA0095,0.00%,Attention
IA0096,100.00%,Reward
IA0097,100.00%,Reward
IA0098,33.33%,Attention
IA0099,33.33%,Attention
IA0100,100.00%,Reward
IA0101,100.00%,Reward
IA0102,100.00%,Reward
IA0103,100.00%,Reward
IA0106,100.00%,Reward
IA0107,50.00%,Attention
IA0108,0.00%,Attention
IA0109,33.33%,Attention
IA0110,100.00%,Reward
IA0113,100.00%,Reward
IA0115,100.00%,Reward
IA0117,100.00%,Reward
IA0118,0.00%,Attention
IA0121,0.00%,Attention
IA0123,100.00%,Reward
IA0124,100.00%,Reward
IA0125,100.00%,Reward
IA0127,0.00%,Attention
IA0128,100.00%,Reward
IA0129,100.00%,Reward
IA0130,100.00%,Reward
IA0131,100.00%,Reward
IA0132,100.00%,Reward
IA0133,0.00%,Attention
IA0134,0.00%,Attention
IA0135,100.00%,Reward
IA0136,75.00%,Attention
IA0137,80.00%,Reward
IA0140,100.00%,Reward
IA0141,71.43%,Attention
IA0143,0.00%,Attention
IA0145,100.00%,Reward
IA0146,100.00%,Reward
IA0148,100.00%,Reward
IA0149,100.00%,Reward
IA0150,100.00%,Reward
IA0151,50.00%,Attention
IA0152,60.00%,Attention
IA0153,100.00%,Reward
IA0154,100.00%,Reward
IA0155,100.00%,Reward
IA0156,75.00%,Attention
IA0157,75.00%,Attention
IA0158,85.71%,Reward
IA0159,100.00%,Reward
IA0160,100.00%,Reward
IA0161,63.64%,Attention
IA0162,80.00%,Reward
IA0163,100.00%,Reward
IA0164,100.00%,Reward
IA0165,80.00%,Reward
IA0166,100.00%,Reward
IA0167,50.00%,Attention
IA0168,100.00%,Reward
IA0169,100.00%,Reward
IA0170,100.00%,Reward
IA0171,100.00%,Reward
IA0172,100.00%,Reward
IA0173,66.67%,Attention
IA0174,100.00%,Reward
IA0175,66.67%,Attention
